,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
10.03,10.03,3,,['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
10.10,10.10,12,GIR:CHEM and GIR:PHY1; [18.03],"['Fall', 'Spring']",,,"{'LectureSession': ['MWF2 VIRTUAL'], 'RecitationSession': ['T11 32-141']}"
10.213,10.213,12,5.601 and 10.10,['Spring'],,,"{'LectureSession': ['TR2.30-4 VIRTUAL'], 'RecitationSession': ['W10 66-110']}"
10.26,10.26,15,"(10.302 and (2.671, 3.014, 5.310, 7.003, 12.335, 20.109, (1.106 and 1.107), or (5.351, 5.352, and 5.353))) or permission of instructor",['Spring'],,,"{'LectureSession': ['TR1-5 VIRTUAL'], 'LabSession': ['TR1-5 66-0064, 13+14']}"
10.27,10.27,15,"(10.302 and (2.671, 3.014, 5.310, 7.003, 12.335, 20.109, (1.106 and 1.107), or (5.351, 5.352, and 5.353))) or permission of instructor",['Spring'],,,"{'LectureSession': ['TR1-5 VIRTUAL'], 'LabSession': ['TR1-5 66-0044, 1+2']}"
10.28B,10.28B,11,10.28A,['Spring'],,,
10.29,10.29,15,"(10.302 and (2.671, 3.014, 5.310, 7.003, 12.335, 20.109, (1.106 and 1.107), or (5.351, 5.352, and 5.353))) or permission of instructor",['Spring'],,,"{'LabSession': ['TR1-5 66-0044, 1+2'], 'LectureSession': ['TR1-5 VIRTUAL']}"
10.301,10.301,12,10.10 and 18.03,['Spring'],,REST,"{'LectureSession': ['TR12-1.30 VIRTUAL'], 'RecitationSession': ['M12 32-141']}"
10.32,10.32,9,10.213 and 10.302,['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
10.333,10.333,12,"18.03, 3.016B, or permission of instructor",['Spring'],,REST,"{'LectureSession': ['TR3-4.30 VIRTUAL'], 'RecitationSession': ['F4 VIRTUAL']}"
10.37,10.37,12,5.601 and 10.301,['Spring'],,,"{'RecitationSession': ['W11 32-141'], 'LectureSession': ['MF11 VIRTUAL']}"
10.380,10.380,3,,['Spring'],,,"{'LectureSession': ['TR1 VIRTUAL'], 'RecitationSession': ['R2.30 VIRTUAL']}"
10.382,10.382,3,,['Spring'],,,"{'LectureSession': ['TR1 VIRTUAL'], 'RecitationSession': ['R2.30 VIRTUAL']}"
10.390,10.390,12,"2.006, (2.051 and 2.06), or permission of instructor",['Spring'],,,{'LectureSession': ['MW12.30-2.30 VIRTUAL']}
10.402,10.402,6,GIR:CAL2 and 6.0001; [6.402],['Spring'],,,{'LectureSession': ['MWF11 VIRTUAL']}
10.426,10.426,12,10.302 or permission of instructor,['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
10.450,10.450,9,10.302 and 18.03,['Spring'],,,{'LectureSession': ['MWF12 VIRTUAL']}
10.490,10.490,9,10.37,"['Fall', 'Spring']",,,{'LectureSession': ['MWF11 VIRTUAL']}
10.494A,10.494A,6,10.301 and permission of instructor,['Spring'],,,{'LectureSession': ['MWF11 VIRTUAL']}
10.494B,10.494B,6,10.301 and permission of instructor,['Spring'],,,{'LectureSession': ['MWF10 VIRTUAL']}
10.7003,10.7003,12,7.002,"['Fall', 'Spring']",,LAB2,"{'LectureSession': ['T1 VIRTUAL'], 'LabSession': ['T2-5,R1-5 68-074'], 'RecitationSession': ['T11-12.30 VIRTUAL']}"
10.910,10.910,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['TBA TBA']}
10.911,10.911,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['TBA TBA']}
10.912,10.912,1,,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['TBA TBA']}
10.EPE,10.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
10.S94,10.S94,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,{'LabSession': ['TBA TBA']}
10.THU,10.THU,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['TBA TBA']}
10.UR,10.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['TBA TBA']}
10.URG,10.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['TBA TBA']}
11.001,11.001,12,,['Spring'],HH,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
11.005,11.005,12,,['Spring'],HS,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
11.006,11.006,12,,['Spring'],HS,,{'LectureSession': ['MW2-3.30 VIRTUAL']}
11.021,11.021,12,,['Spring'],HS,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
11.027,11.027,12,Permission of instructor,['Spring'],HS,,{'LectureSession': ['TR4 VIRTUAL']}
11.074,11.074,12,,"['Fall', 'Spring']",,,{'LectureSession': ['F10-12 VIRTUAL']}
11.119,11.119,3,,"['Fall', 'Spring']",,,{'LectureSession': ['*TO BE ARRANGED *TO BE ARRANGED']}
11.123,11.123,9,,['Spring'],HS,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
11.125,11.125,12,,['Spring'],HS,,"{'LabSession': ['*TO BE ARRANGED null'], 'LectureSession': ['TR2.30-4 VIRTUAL']}"
11.127,11.127,12,,['Spring'],HH,,"{'LectureSession': ['TR1-2.30 VIRTUAL'], 'LabSession': ['*TO BE ARRANGED null']}"
11.131,11.131,12,CMS.592,['Spring'],HS,,{'LectureSession': ['TR4-5.30 VIRTUAL']}
11.137,11.137,12,,['Spring'],,,{'LectureSession': ['MW2-3.30 VIRTUAL']}
11.139,11.139,9,,['Spring'],HH,,{'LectureSession': ['MW3.30-5 VIRTUAL']}
11.156,11.156,12,,['Spring'],,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
11.157,11.157,6,,['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
11.158,11.158,12,,['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
11.188,11.188,12,,"['Fall', 'Spring']",,LAB,"{'RecitationSession': ['M4 VIRTUAL'], 'LabSession': ['F12.30-3 VIRTUAL'], 'LectureSession': ['MW2.30-4 VIRTUAL']}"
11.189,11.189,0,Permission of instructor,"['Fall', 'Spring']",,,
11.190,11.190,0,,"['Fall', 'Spring']",,,
11.191,11.191,0,,"['Fall', 'Spring']",,,
11.192,11.192,0,,"['Fall', 'IAP', 'Spring']",,,
11.193,11.193,0,,"['Fall', 'Spring']",,,
11.194,11.194,0,,"['Fall', 'Spring']",,,
11.S187,11.S187,0,,"['Fall', 'IAP', 'Spring']",,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
11.S189,11.S189,0,,"['Fall', 'IAP', 'Spring']",,,
11.S195,11.S195,0,,"['Fall', 'IAP', 'Spring']",,,{'LectureSession': ['F2-5 VIRTUAL']}
11.S196,11.S196,0,,"['Fall', 'Spring']",,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
11.S197,11.S197,0,,['Spring'],,,{'LectureSession': ['T9-12 VIRTUAL']}
11.S198,11.S198,0,,"['Fall', 'Spring']",,,
11.S199,11.S199,0,,"['Fall', 'IAP', 'Spring']",,,{'LectureSession': ['R9-12 VIRTUAL']}
11.THU,11.THU,0,11.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,
11.UR,11.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
11.URG,11.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
12.00,12.00,2,,['Spring'],,,{'LectureSession': ['T2-4 VIRTUAL']}
12.002,12.002,12,GIR:CAL2 and GIR:PHY2,['Spring'],,REST,{'LectureSession': ['WF12.30-2 VIRTUAL']}
12.007,12.007,12,,['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
12.011,12.011,9,GIR:CHEM or GIR:PHY1,['Spring'],HS,,{'LectureSession': ['M EVE (7-10 PM) VIRTUAL']}
12.080,12.080,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
12.091,12.091,0,Permission of instructor,"['IAP', 'Spring']",,,{'LectureSession': ['M1-3 VIRTUAL']}
12.110A,12.110A,6,12.001 or 12.11,['Spring'],,LAB2,{'LectureSession': ['MWF3 VIRTUAL']}
12.12,12.12,3,,['Spring'],,,{'LectureSession': ['F3 VIRTUAL']}
12.207,12.207,12,GIR:PHY2 and (18.03 or 18.032),['Spring'],,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
12.300,12.300,12,18.03,['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
12.306,12.306,12,(18.075 and (5.60 or 5.61)) or permission of instructor,['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
12.307,12.307,12,GIR:CAL2 and GIR:PHY1,['Spring'],,LAB,"{'LectureSession': ['*TO BE ARRANGED null'], 'LabSession': ['TR2.30-4.30 VIRTUAL']}"
12.315,12.315,12,12.390 or permission of instructor,['Spring'],,,{'LectureSession': ['MW10.30-12 VIRTUAL']}
12.349,12.349,12,GIR:CAL2 and GIR:PHY1,['Spring'],,,{'LectureSession': ['MW10.30-12 VIRTUAL']}
12.386,12.386,12,,['Spring'],HS,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
12.400,12.400,12,GIR:PHY1,['Spring'],,REST,{'LectureSession': ['TR3-4.30 VIRTUAL']}
12.402,12.402,9,GIR:PHY1,['Spring'],,REST,{'LectureSession': ['TR1-2.30 VIRTUAL']}
12.409,12.409,6,,['Spring'],,,"{'LabSession': ['W EVE (7-10 PM) VIRTUAL'], 'LectureSession': ['T4 VIRTUAL']}"
12.43,12.43,12,Permission of instructor,['Spring'],,,"{'LectureSession': ['TR2 VIRTUAL'], 'LabSession': ['*TO BE ARRANGED null']}"
12.THU,12.THU,0,12.TIP,"['Fall', 'IAP', 'Summer', 'Spring']",,,
12.TIP,12.TIP,6,,"['Fall', 'Spring']",,,
12.UR,12.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
12.URG,12.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
14.01,14.01,12,,"['Fall', 'Spring']",HS,,"{'RecitationSession': ['F9 VIRTUAL'], 'LectureSession': ['TBD TBD']}"
14.02,14.02,12,,"['Fall', 'Spring']",HS,,"{'RecitationSession': ['F2 VIRTUAL'], 'LectureSession': ['MW2 VIRTUAL']}"
14.03,14.03,12,14.01 or permission of instructor,"['Fall', 'Spring']",HS,,"{'RecitationSession': ['F10 VIRTUAL'], 'LectureSession': ['MW9-10.30 VIRTUAL']}"
14.08,14.08,12,14.01,"['Fall', 'Spring']",,,
14.09,14.09,0,14.04 and 14.06,"['Fall', 'IAP', 'Summer', 'Spring']",,,
14.10,14.10,0,14.04 and 14.06,"['Fall', 'IAP', 'Summer', 'Spring']",,,
14.15,14.15,12,6.041 or 14.30,['Spring'],HS,,"{'LectureSession': ['MW1-2.30 VIRTUAL'], 'RecitationSession': ['F2 VIRTUAL']}"
14.18,14.18,12,"14.04, 14.12, 14.15, or 14.19",['Spring'],HS,,"{'LectureSession': ['MW2.30-4 VIRTUAL'], 'RecitationSession': ['TBD TBD']}"
14.20,14.20,12,14.01,['Spring'],HS,,"{'RecitationSession': ['F2 VIRTUAL'], 'LectureSession': ['MW1-2.30 VIRTUAL']}"
14.26,14.26,12,14.01,['Spring'],HS,,"{'RecitationSession': ['F11 VIRTUAL'], 'LectureSession': ['TR10.30-12 VIRTUAL']}"
14.32,14.32,12,14.30,"['Fall', 'Spring']",,LAB,"{'LabSession': ['*TO BE ARRANGED null'], 'LectureSession': ['TR10.30-12 E51-395'], 'RecitationSession': ['F11 E51-395']}"
14.33,14.33,12,14.32 and (14.01 or 14.02),"['Fall', 'Spring']",HS,,"{'LectureSession': ['MW2.30-4 VIRTUAL'], 'RecitationSession': ['TBD TBD']}"
14.38,14.38,12,14.32,['Spring'],,,"{'LectureSession': ['MW10.30-12 VIRTUAL'], 'RecitationSession': ['F10.30-12 E51-149']}"
14.42,14.42,12,14.01,['Spring'],HS,,"{'RecitationSession': ['F3 VIRTUAL'], 'LectureSession': ['TR9-10.30 VIRTUAL']}"
14.44,14.44,12,14.01 or 15.0111,['Spring'],HS,,"{'LectureSession': ['TR1-2.30 VIRTUAL'], 'RecitationSession': ['F2 VIRTUAL']}"
14.70,14.70,12,,['Spring'],HS,,"{'LectureSession': ['M9.30-11 VIRTUAL'], 'RecitationSession': ['W9.30-11 VIRTUAL']}"
14.75,14.75,12,14.01,['Spring'],HS,,"{'LectureSession': ['TR1-2.30 VIRTUAL'], 'RecitationSession': ['F1 VIRTUAL']}"
14.76,14.76,12,14.01,['Spring'],HS,,"{'RecitationSession': ['F9 VIRTUAL'], 'LectureSession': ['MW9-10.30 VIRTUAL']}"
14.THU,14.THU,0,14.33,"['Fall', 'IAP', 'Summer', 'Spring']",,,
14.UR,14.UR,0,14.02,"['Fall', 'IAP', 'Summer', 'Spring']",,,
14.URG,14.URG,0,14.02,"['Fall', 'IAP', 'Summer', 'Spring']",,,
15.0251,15.0251,9,14.01 or 15.0111,['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
15.0341,15.0341,9,,['Spring'],,,"{'LectureSession': ['MW4-5.30 VIRTUAL'], 'RecitationSession': ['R1-2.30 VIRTUAL']}"
