,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
21M.608,21M.608,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['W2-5 VIRTUAL']}
21M.623,21M.623,12,,"['Fall', 'Spring']",HA,,"{'LectureSession': ['TR11-1 VIRTUAL'], 'RecitationSession': ['MTWRF9-12 W97-269']}"
21M.645,21M.645,12,,"['Fall', 'Spring']",HA,,"{'RecitationSession': ['MTWRF EVE (7-10 PM) W97-269'], 'LectureSession': ['M EVE (7-10 PM) VIRTUAL']}"
21M.702,21M.702,12,,['Spring'],HA,,"{'LabSession': ['MTWRF9-12 W97-269'], 'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}"
21M.705,21M.705,12,21M.600 or permission of instructor,['Spring'],HA,,"{'LectureSession': ['MW1-3 VIRTUAL'], 'LabSession': ['MTWRF2-5 W97-269']}"
21M.710,21M.710,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['M2-5 VIRTUAL']}
21M.712,21M.712,12,,['Spring'],HA,,"{'RecitationSession': ['MTWRF2-5 W97-269'], 'LectureSession': ['TR3-5 VIRTUAL']}"
21M.715,21M.715,12,Permission of instructor,"['Fall', 'Spring']",,,"{'RecitationSession': ['MTWRF9-12 W97-269'], 'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}"
21M.733,21M.733,12,,['Spring'],HA,,{'LectureSession': ['TR EVE (7-9 PM) VIRTUAL']}
21M.735,21M.735,12,21M.606 or permission of instructor,['Spring'],HA,,{'LectureSession': ['M EVE (7-10 PM) VIRTUAL']}
21M.790,21M.790,12,21M.600 and (21M.710 or permission of instructor),['Spring'],HA,,"{'LabSession': ['MTWRF9-12 W97-269'], 'LectureSession': ['TR11-1 VIRTUAL']}"
21M.803,21M.803,3,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['MTWRF EVE (7-10 PM) W97-269']}
21M.806,21M.806,6,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['MTWRF9-12 W97-269']}
21M.809,21M.809,9,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['MTWRF9-12 W97-269']}
21M.840,21M.840,12,,['Spring'],HA,,"{'LabSession': ['MTWRF EVE (7-10 PM) W97-269'], 'LectureSession': ['TR3-5 VIRTUAL']}"
21M.846,21M.846,12,,['Spring'],HA,,{'LectureSession': ['TR 3-4:30 Virtual']}
21M.848,21M.848,12,21M.690 and permission of instructor,['Spring'],HA,,{'LectureSession': ['W EVE (7-10 PM) VIRTUAL']}
21M.851,21M.851,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21M.863,21M.863,12,Permission of instructor,['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21M.864,21M.864,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LectureSession': ['Scheduled Individually Virtual']}
21M.THT,21M.THT,6,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,{'LabSession': ['MTWRF EVE (7-10 PM) W97-110']}
21M.THU,21M.THU,0,21M.THT or permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['MTWRF9-12 W97-110']}
21M.UR,21M.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,{'LabSession': ['MTWRF9-12 W97-110']}
21M.URG,21M.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21W.011,21W.011,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['TR EVE (7-8.30 PM) VIRTUAL']}
21W.022,21W.022,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW3-4.30 VIRTUAL']}
21W.031,21W.031,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['TR12.30-2 VIRTUAL']}
21W.035,21W.035,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21W.041,21W.041,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
21W.741,21W.741,12,,['Spring'],"HA,HH",,{'LectureSession': ['T2-5 VIRTUAL']}
21W.747,21W.747,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
21W.755,21W.755,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21W.758,21W.758,12,Permission of instructor,['Spring'],HA,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21W.762,21W.762,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR EVE (7-8.30 PM) VIRTUAL']}
21W.770,21W.770,12,Permission of instructor,['Spring'],HA,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21W.771,21W.771,12,Permission of instructor,"['Fall', 'Spring']",HA,,{'LectureSession': ['MW EVE (7-8.30 PM) VIRTUAL']}
21W.774,21W.774,12,,['Spring'],HA,,{'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}
21W.775,21W.775,12,,['Spring'],HH,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21W.776,21W.776,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['W2-5 VIRTUAL']}
21W.777,21W.777,12,,['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21W.778,21W.778,12,,['Spring'],HH,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21W.788,21W.788,12,,['Spring'],HH,,{'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}
21W.791,21W.791,12,,['Spring'],HH,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
21W.792,21W.792,12,,"['Fall', 'Spring']",,,
21W.798,21W.798,0,,"['Fall', 'Spring']",,,
21W.799,21W.799,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21W.THT,21W.THT,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21W.THU,21W.THU,0,21W.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21W.UR,21W.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21W.URG,21W.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
22.00,22.00,12,"18.03, 3.016B, or permission of instructor",['Spring'],,REST,"{'RecitationSession': ['M4 VIRTUAL'], 'LectureSession': ['TR3-4.30 VIRTUAL']}"
22.003,22.003,3,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['T EVE (7 PM) VIRTUAL']}
22.014,22.014,6,,"['Fall', 'Spring']",,,{'LectureSession': ['W EVE (7-9 PM) VIRTUAL']}
22.02,22.02,12,8.03 or permission of instructor,['Spring'],,REST,"{'RecitationSession': ['F2-4 VIRTUAL'], 'LectureSession': ['MW9-10.30 VIRTUAL']}"
22.022,22.022,12,"8.04, 22.02, or permission of instructor",['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
22.042,22.042,6,GIR:CAL2 and 6.0001; [6.402],['Spring'],,,{'LectureSession': ['F11 VIRTUAL']}
22.06,22.06,12,2.005,['Spring'],,,"{'LectureSession': ['TR9.30-11 VIRTUAL'], 'RecitationSession': ['F11 VIRTUAL']}"
22.061,22.061,12,22.01 or permission of instructor,['Spring'],,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
22.071,22.071,12,18.03,['Spring'],,REST,"{'LectureSession': ['MW3.30-5 VIRTUAL'], 'LabSession': ['F2-5 NW14-1310']}"
22.09,22.09,15,22.01,['Spring'],,LAB,"{'LectureSession': ['M1 NW14-1112'], 'LabSession': ['MW1-4 NW14-1310']}"
22.091,22.091,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
22.093,22.093,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
22.099,22.099,0,,"['Fall', 'Spring']",,,
22.EPE,22.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
22.S092,22.S092,0,,"['Fall', 'Spring']",,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
22.S097,22.S097,0,,['Spring'],,,"{'LectureSession': ['R3-4.30 VIRTUAL'], 'LabSession': ['F3-4.30 VIRTUAL']}"
22.THU,22.THU,0,22.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,
22.UR,22.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
22.URG,22.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
24.013,24.013,12,,['Spring'],HH,,"{'RecitationSession': ['F1 VIRTUAL'], 'LectureSession': ['MW2 VIRTUAL']}"
24.09,24.09,12,,['Spring'],HH,,"{'RecitationSession': ['F11 VIRTUAL'], 'LectureSession': ['MW11 VIRTUAL']}"
24.118,24.118,12,,['Spring'],HH,,"{'RecitationSession': ['F10 VIRTUAL'], 'LectureSession': ['TBD TBD']}"
24.191,24.191,6,,['Spring'],,,{'LectureSession': ['T EVE (7 PM) VIRTUAL']}
24.201,24.201,12,One philosophy subject or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
24.211,24.211,12,One philosophy subject,['Spring'],HH,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
24.212,24.212,12,,['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
24.215,24.215,12,One philosophy subject,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW2.30-4 VIRTUAL']}
24.221,24.221,12,One philosophy subject,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW10-11.30 VIRTUAL']}
24.231,24.231,12,One philosophy subject,['Spring'],HH,,"{'RecitationSession': ['F1 VIRTUAL'], 'LectureSession': ['MW1 VIRTUAL']}"
24.237,24.237,12,,['Spring'],HH,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
24.241,24.241,12,,['Spring'],HH,,{'LectureSession': ['R10-11.30 VIRTUAL']}
24.251,24.251,12,One philosophy subject,['Spring'],HH,,{'LectureSession': ['MW11.30-1 VIRTUAL']}
24.253,24.253,12,One philosophy subject or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
24.293,24.293,0,Any two subjects in philosophy,['Spring'],,,
24.900,24.900,12,,"['Fall', 'Spring']",HS,,"{'RecitationSession': ['F11 VIRTUAL'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
24.903,24.903,12,24.900 or 24.9000,['Spring'],HS,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
24.904,24.904,12,"24.900, 24.9000, or permission of instructor",['Spring'],HS,,"{'LectureSession': ['TR11 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
24.905,24.905,12,,['Spring'],,LAB,"{'LabSession': ['F1-4 VIRTUAL'], 'LectureSession': ['MW1-2.30 VIRTUAL']}"
24.908,24.908,12,,['Spring'],HS,,{'LectureSession': ['W12-3 VIRTUAL']}
24.912,24.912,12,,['Spring'],"HA,HH",,{'LectureSession': ['T2-5 VIRTUAL']}
24.914,24.914,12,24.900 or 24.9000,['Spring'],HS,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
24.918,24.918,12,"(24.901, 24.902, and 24.903) or permission of instructor",['Spring'],HS,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
24.919,24.919,0,,"['Fall', 'Summer', 'Spring']",,,
24.S00,24.S00,12,,"['Fall', 'Spring']",,,
24.S20,24.S20,12,One philosophy subject or permission of instructor,"['Fall', 'Spring']",,,
24.S90,24.S90,12,24.900 or permission of instructor,"['Fall', 'Spring']",,,
24.UR,24.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
24.URG,24.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
3.001,3.001,3,,['Spring'],,,{'LectureSession': ['T12-2 VIRTUAL']}
3.006,3.006,3,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['R EVE (7 PM) VIRTUAL']}
3.020,3.020,12,GIR:CHEM; [18.03 or 18.032],['Spring'],,REST,"{'LabSession': ['T10-12 4-006'], 'RecitationSession': ['T3 VIRTUAL'], 'LectureSession': ['MWF10 VIRTUAL']}"
3.021,3.021,12,"18.03, 3.016B, or permission of instructor",['Spring'],,REST,"{'RecitationSession': ['F4 VIRTUAL'], 'LectureSession': ['TR3-4.30 VIRTUAL']}"
3.023,3.023,12,3.010,['Spring'],,,"{'LabSession': ['R3-5 4-119'], 'RecitationSession': ['R1 VIRTUAL'], 'LectureSession': ['MWF11 VIRTUAL']}"
3.029,3.029,9,GIR:CAL2 and 3.019; [3.020],['Spring'],,,"{'RecitationSession': ['W3 VIRTUAL'], 'LectureSession': ['TR2 VIRTUAL']}"
3.041,3.041,12,3.022 and 3.032,['Spring'],,,"{'LectureSession': ['MWF11 VIRTUAL'], 'LabSession': ['R10-12 VIRTUAL']}"
3.042,3.042,12,"3.014, 3.032, or 3.044","['Fall', 'Spring']",,,"{'LectureSession': ['R1 VIRTUAL'], 'LabSession': ['TR2-5 4-131B']}"
3.044,3.044,12,3.012 and 3.022,['Spring'],,,"{'RecitationSession': ['TR11 VIRTUAL'], 'LectureSession': ['MW2.30-4 VIRTUAL']}"
3.052,3.052,12,3.032 or permission of instructor,['Spring'],,,
3.053,3.053,12,"GIR:BIOL, (2.370 or 20.110), and (3.016B or 18.03)",['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
3.054,3.054,12,3.032,['Spring'],,,"{'RecitationSession': ['MTWRF9-12 4-141'], 'LectureSession': ['MW1-2.30 VIRTUAL']}"
3.063,3.063,12,3.012,['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
3.071,3.071,12,(3.030 and 3.033) or permission of instructor,['Spring'],,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
3.085,3.085,12,,['Spring'],,,{'LectureSession': ['MW8-9.30 VIRTUAL']}
3.086,3.086,12,,['Spring'],,,{'LectureSession': ['M3.30-5 VIRTUAL']}
3.091,3.091,12,,"['Fall', 'Spring']",,CHEM,"{'RecitationSession': ['TR4 13-3101'], 'LectureSession': ['MWF11 VIRTUAL']}"
3.094,3.094,9,,['Spring'],HS,,"{'LectureSession': ['TR4 VIRTUAL'], 'LabSession': ['W EVE (7-10 PM) VIRTUAL']}"
3.095,3.095,9,,['Spring'],HA,,"{'LabSession': ['M EVE (7-10 PM) 4-006'], 'LectureSession': ['MW 1-2PM Virtual']}"
3.100,3.100,6,GIR:CAL2 and 6.0001; [6.402],['Spring'],,,{'LectureSession': ['MWF11 VIRTUAL']}
3.14,3.14,12,3.030 and 3.032,['Spring'],,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
3.152,3.152,12,3.024,['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
3.155,3.155,12,"GIR:CAL2, GIR:CHEM, GIR:PHY2, or permission of instructor",['Spring'],,,"{'LabSession': ['TRF1-4 12-3101'], 'LectureSession': ['MW2.30-4 VIRTUAL']}"
3.171,3.171,12,3.012 and 3.014,"['Fall', 'Spring']",,,"{'RecitationSession': ['TR9 VIRTUAL'], 'LectureSession': ['MWF9 VIRTUAL']}"
3.18,3.18,12,3.030 and 3.033,['Spring'],,,{'LectureSession': ['TR1.30-3 VIRTUAL']}
3.19,3.19,12,3.022,['Spring'],,,{'LectureSession': ['TR1.30-3 VIRTUAL']}
3.691,3.691,1,Permission of instructor,"['Fall', 'Spring']",,,
3.692,3.692,0,Permission of instructor,"['Fall', 'Spring']",,,
3.930,3.930,6,,"['Fall', 'Summer', 'Spring']",,,
3.931,3.931,6,3.930,"['Fall', 'Summer', 'Spring']",,,
3.985,3.985,9,GIR:CHEM or GIR:PHY1,['Spring'],HS,,{'LectureSession': ['M EVE (7-10 PM) VIRTUAL']}
3.987,3.987,12,,['Spring'],HS,,"{'LectureSession': ['MW3-4.30 VIRTUAL'], 'LabSession': ['F3-4.30 VIRTUAL']}"
3.990,3.990,9,"3.985, 3.986, and 21A.00","['Fall', 'Spring']",,,
3.993,3.993,9,,['Spring'],HS,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
3.EPE,3.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
3.S04,3.S04,0,Permission of instructor,['Spring'],,,{'LectureSession': ['MW12.30-2 VIRTUAL']}
3.S05,3.S05,0,Permission of instructor,['Spring'],,,{'LectureSession': ['T3-5 VIRTUAL']}
3.S06,3.S06,0,Permission of instructor,"['Fall', 'Spring']",,,
3.THU,3.THU,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
3.UR,3.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
3.URG,3.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
4.021,4.021,12,,"['Fall', 'Spring']",HA,,"{'RecitationSession': ['MTWRF2-5 3-410'], 'LectureSession': ['MW2-5 5-414']}"
4.022,4.022,12,4.02A or 4.021,"['Fall', 'Spring']",,,"{'RecitationSession': ['MTWRF EVE (7-10 PM) N51-160'], 'LectureSession': ['MW2-5 5-414']}"
4.024,4.024,24,"4.023, 4.401, and 4.500",['Spring'],,,"{'RecitationSession': ['MTWRF EVE (7-10 PM) N51-160'], 'LectureSession': ['TRF1-5 5-414']}"
4.032,4.032,12,4.022,['Spring'],,,{'LectureSession': ['WF9.30-11 VIRTUAL']}
4.041,4.041,12,4.031 or permission of instructor,['Spring'],,,{'LectureSession': ['TR2-5 VIRTUAL']}
4.043,4.043,12,4.031 or permission of instructor,['Spring'],,,"{'LectureSession': ['F2-5 VIRTUAL'], 'LabSession': ['MTWRF2-5 4-013'], 'RecitationSession': ['MTWRF2-5 N52-337']}"
4.090,4.090,0,Permission of instructor,"['IAP', 'Summer', 'Spring']",,,
4.091,4.091,0,,"['Fall', 'IAP', 'Spring']",,,
4.092,4.092,0,,"['Fall', 'IAP', 'Spring']",,,
4.110,4.110,12,,['Spring'],HA,,"{'LectureSession': ['M10-12 VIRTUAL'], 'LabSession': ['M EVE (7-9 PM) VIRTUAL']}"
4.118,4.118,12,4.500 or permission of instructor,['Spring'],,,{'LectureSession': ['W2-5 VIRTUAL']}
4.191,4.191,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.192,4.192,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.250,4.250,12,,['Spring'],HH,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
4.291,4.291,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.292,4.292,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.301,4.301,12,,"['Fall', 'Spring']",HA,,"{'LectureSession': ['TR2-5 E15-283A'], 'RecitationSession': ['R9-12 E15-283A']}"
4.302,4.302,12,4.02A or 4.021,['Spring'],,,"{'RecitationSession': ['M2-5 E15-283A'], 'LectureSession': ['TR9-12 E15-283A']}"
4.314,4.314,12,"4.301, 4.302, or permission of instructor","['Fall', 'Spring']",HA,,"{'LectureSession': ['TR9.30-12.30 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
4.320,4.320,12,,['Spring'],HA,,{'LectureSession': ['MW9-12 VIRTUAL']}
4.341,4.341,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR2-5 E15-054']}
4.344,4.344,12,4.341 or permission of instructor,"['Fall', 'Spring']",HA,,{'LectureSession': ['T9.30-12.30 E15-054']}
4.354,4.354,12,,"['Fall', 'Spring']",HA,,"{'LectureSession': ['MW9.30-12.30 E15-001'], 'RecitationSession': ['W EVE (7-10 PM) E15-054']}"
4.356,4.356,12,"4.301, 4.302, 4.354, or permission of instructor",['Spring'],HA,,{'LectureSession': ['TW EVE (7-10 PM) VIRTUAL']}
4.368,4.368,12,4.301 or 4.302,['Spring'],HA,,{'LectureSession': ['MW9.30-12.30 VIRTUAL']}
4.373,4.373,12,"4.301, 4.302, or permission of instructor",['Spring'],HA,,{'LectureSession': ['TR9.30-12.30 VIRTUAL']}
4.391,4.391,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.392,4.392,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.440,4.440,12,GIR:CAL2,['Spring'],,REST,"{'LabSession': ['F9.30-11.30 VIRTUAL'], 'LectureSession': ['MW9.30-11 VIRTUAL']}"
4.491,4.491,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.492,4.492,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.507,4.507,12,,['Spring'],,,{'LectureSession': ['R9-12 VIRTUAL']}
4.520,4.520,12,,['Spring'],,,{'LectureSession': ['T9.30-12.30 VIRTUAL']}
4.591,4.591,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.592,4.592,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.602,4.602,12,,['Spring'],HA,,"{'LectureSession': ['MW9.30-11 VIRTUAL'], 'RecitationSession': ['W12 VIRTUAL']}"
4.605,4.605,12,,['Spring'],HA,,"{'RecitationSession': ['F11 VIRTUAL'], 'LectureSession': ['MW11-12.30 VIRTUAL']}"
4.609,4.609,12,Permission of instructor,['Spring'],HA,,{'LectureSession': ['F2-5 VIRTUAL']}
4.657,4.657,12,,['Spring'],HA,,"{'RecitationSession': ['W9 VIRTUAL'], 'LectureSession': ['TR2-3.30 VIRTUAL']}"
4.691,4.691,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.692,4.692,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
4.THU,4.THU,0,4.119 or 11.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,"{'LabSession': ['MTWRF EVE (7-10 PM) N51-160'], 'LectureSession': ['*TO BE ARRANGED null']}"
4.UR,4.UR,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
4.URG,4.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
5.002,5.002,3,,['Spring'],,,"{'RecitationSession': ['R2.30 VIRTUAL'], 'LectureSession': ['TR1 VIRTUAL']}"
5.003,5.003,3,,['Spring'],,,"{'RecitationSession': ['R2.30 VIRTUAL'], 'LectureSession': ['TR1 VIRTUAL']}"
5.03,5.03,12,5.12,['Spring'],,,"{'LectureSession': ['TR11-12.30 VIRTUAL'], 'RecitationSession': ['MW9 VIRTUAL']}"
5.08,5.08,12,"(GIR:BIOL, 5.13, and (5.07 or 7.05)) or permission of instructor",['Spring'],,,"{'LectureSession': ['MW11-12.30 VIRTUAL'], 'RecitationSession': ['F9 VIRTUAL']}"
5.111,5.111,12,,"['Fall', 'Spring']",,CHEM,"{'RecitationSession': ['TR1 VIRTUAL'], 'LectureSession': ['MWF12 VIRTUAL']}"
5.12,5.12,12,GIR:CHEM,"['Fall', 'Spring']",,REST,"{'RecitationSession': ['TR12 VIRTUAL'], 'LectureSession': ['MWF12 VIRTUAL']}"
5.24,5.24,9,GIR:CHEM or GIR:PHY1,['Spring'],HS,,{'LectureSession': ['M EVE (7-10 PM) VIRTUAL']}
5.310,5.310,12,[5.12],"['Fall', 'Spring']",,LAB,"{'LabSession': ['TR1-5 12-5170B'], 'LectureSession': ['TR12 VIRTUAL']}"
5.351,5.351,4,GIR:CHEM,['Spring'],,LAB2,"{'LabSession': ['MW1-5 12-5170B'], 'LectureSession': ['TR9 VIRTUAL']}"
5.352,5.352,5,[5.351],"['Fall', 'Spring']",,LAB2,"{'LabSession': ['MW1-5 12-5170B'], 'LectureSession': ['TR9 VIRTUAL']}"
5.353,5.353,4,[5.12 and 5.352],['Spring'],,LAB2,"{'LabSession': ['MW1-5 12-5170B'], 'LectureSession': ['TR9 VIRTUAL']}"
5.361,5.361,4,(5.07 or 7.05) and (5.310 or 5.352),"['Fall', 'Spring']",,,"{'LabSession': ['MW1-5 12-5170B'], 'LectureSession': ['TR10 VIRTUAL']}"
5.362,5.362,5,(5.07 or 7.05) and (5.310 or 5.352); [5.361],"['Fall', 'Spring']",,,"{'LectureSession': ['TR10 VIRTUAL'], 'LabSession': ['MW1-5 12-5170B']}"
5.371,5.371,4,5.13 and 5.363,['Spring'],,,"{'LabSession': ['TR1-5 12-5170B'], 'LectureSession': ['TR10 VIRTUAL']}"
5.381,5.381,4,5.353 and 5.61,['Spring'],,,"{'LabSession': ['TR1-5 12-5170B'], 'LectureSession': ['TR11 VIRTUAL']}"
5.382,5.382,5,5.611 and (5.07 or 7.05); [5.361],['Spring'],,,"{'LabSession': ['TR1-5 12-5170B'], 'LectureSession': ['TR11 VIRTUAL']}"
5.383,5.383,4,5.363 and (5.07 or 7.05),['Spring'],,,"{'LabSession': ['MW1-5 12-5170B'], 'LectureSession': ['TR11 VIRTUAL']}"
5.39,5.39,20,An approved research experience and permission of instructor,['Spring'],,,"{'LabSession': ['*TO BE ARRANGED Virtual'], 'LectureSession': ['F1-3 VIRTUAL']}"
5.60,5.60,12,GIR:CAL2 and GIR:CHEM,"['Fall', 'Spring']",,REST,"{'LectureSession': ['MWF11 VIRTUAL'], 'RecitationSession': ['TR9 VIRTUAL']}"
5.601,5.601,6,GIR:CAL2 and GIR:CHEM,"['Fall', 'Spring']",,RST2,"{'RecitationSession': ['MW1 VIRTUAL'], 'LectureSession': ['MWF11 VIRTUAL']}"
5.602,5.602,6,5.601,"['Fall', 'Spring']",,RST2,"{'RecitationSession': ['MW1 VIRTUAL'], 'LectureSession': ['MWF11 VIRTUAL']}"
5.62,5.62,12,5.60 and 5.61,['Spring'],,,"{'RecitationSession': ['F4 VIRTUAL'], 'LectureSession': ['MW11.30-1 VIRTUAL']}"
5.891,5.891,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
5.892,5.892,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
5.S310,5.S310,12,[5.12],['Spring'],,LAB,"{'LabSession': ['MW1-5 VIRTUAL'], 'LectureSession': ['TR12 VIRTUAL']}"
5.THU,5.THU,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
5.UR,5.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
5.URG,5.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
6.0001,6.0001,6,,"['Fall', 'Spring']",,RST2,"{'RecitationSession': ['F11 VIRTUAL'], 'LectureSession': ['MW3-4.30 VIRTUAL']}"
6.0002,6.0002,6,6.0001 or permission of instructor,"['Fall', 'Spring']",,RST2,"{'RecitationSession': ['F12 VIRTUAL'], 'LectureSession': ['MW3-4.30 VIRTUAL']}"
6.002,6.002,12,GIR:PHY2; [2.087 or 18.03],"['Fall', 'Spring']",,REST,"{'RecitationSession': ['W12 VIRTUAL'], 'LabSession': ['MWF9-12 38-530'], 'LectureSession': ['TR11 VIRTUAL']}"
6.003,6.003,12,GIR:CAL1 and 6.0001,"['Fall', 'Spring']",,REST,"{'LabSession': ['TR3-5 VIRTUAL'], 'LectureSession': ['TR2 VIRTUAL']}"
6.004,6.004,12,GIR:PHY2 and 6.0001,"['Fall', 'Spring']",,REST,"{'RecitationSession': ['WF2 VIRTUAL'], 'LectureSession': ['TR1 VIRTUAL']}"
6.006,6.006,12,6.042 and (6.0001 or [6.009]),"['Fall', 'Spring']",,,"{'RecitationSession': ['WF9 VIRTUAL'], 'LectureSession': ['TR11 VIRTUAL']}"
6.009,6.009,12,6.0001,"['Fall', 'Spring']",,LAB,"{'RecitationSession': ['W2 VIRTUAL'], 'LabSession': ['F9-11 VIRTUAL'], 'LectureSession': ['M11-12.30 VIRTUAL']}"
6.011,6.011,12,"6.003 and (6.008, 6.041, or 18.600)",['Spring'],,,"{'LectureSession': ['MW3 VIRTUAL'], 'RecitationSession': ['TR2 VIRTUAL']}"
6.012,6.012,12,6.002,"['Fall', 'Spring']",,,"{'LectureSession': ['TR11 VIRTUAL'], 'RecitationSession': ['WF1 VIRTUAL']}"
